feature,gain
m01_installments_max,1486.1233520507812
new_merchant_id_nunique,1424.0426737467449
hist_cat2_5_mean,1414.3000081380208
m012_merchant_category_id_nunique,1355.4616597493489
hist_lag-1_count,1288.4916483561199
new_cat2_1_mean,1195.8576558430989
hist_monthsum_mean,1183.938008626302
new_state_id_nunique,1121.686019897461
new_month_lag_max,1119.5309753417969
new_subsector_id_nunique,1020.3959757486979
new_cat2_3_mean,953.1813151041666
hist_cat3_0_mean,937.1713460286459
new_mer_merchant_group_id_nunique,929.3526662190756
hist_inst_share_0,860.2873331705729
new_count,842.9670003255209
m0_sum_per_month,827.958974202474
m012_city_id_nunique,783.5609842936198
m0_count_per_month,770.1326497395834
decx_purchase_amount_mean,734.4636789957682
new_month_diff_min,693.0546722412109
new_cat2_4_mean,666.5246632893881
hist_month_diff_min,521.0086568196615
new_month_lag_min,449.8846689860026
m01_month_id_nunique,382.9600016276042
hist_cat2_3_mean,378.19533284505206
feature_3,331.4673309326172
new_cat3_0_mean,316.43299865722656
new_cat2_5_mean,207.33333333333334
new_cat3_-1_mean,143.07866414388022
m012_month_id_nunique,132.1086629231771
new_month_diff_max,52.66566467285156
m0_month_lag_mean,0.0
elapsed_days,0.0
m0_month_lag_std,0.0
m0_month_id_nunique,0.0
new_month_id_nunique,0.0
m0_month_lag_min,0.0
new_cat2_2_mean,0.0
new_authorized_flag_mean,0.0
m01_month_lag_min,0.0
m012_month_lag_min,0.0
hist_month_lag_max,0.0
