feature,gain
new_city_id_nunique,1606.0193481445312
hist_cat3_-1_mean,1603.3553365071614
new_merchant_category_id_nunique,1596.515993754069
hist_cat2_2_mean,1347.5673319498699
hist_cat2_5_mean,1347.1326649983723
new_count,1298.9423421223958
new_month_diff_min,1290.0093409220378
fam_month_id,1275.2360026041667
new_month_lag_max,1274.5893147786458
hist_monthsum_mean,1222.5126647949219
new_cat2_5_mean,1100.3236897786458
new_state_id_nunique,1087.1386617024739
new_mer_merchant_group_id_nunique,1013.482655843099
new_installments_max,870.2066853841146
feature_3,751.9003295898438
new_cat3_-1_mean,723.3696746826172
new_cat2_3_mean,721.7063293457031
hist_inst_share_0,660.0520070393881
new_cat3_0_mean,651.4760080973307
newlag2_merchant_id_nunique,585.4053395589193
elapsed_days,289.99432881673175
new_month_lag_min,184.09000651041666
hist_month_lag_max,93.80166625976562
new_cat2_2_mean,59.516998291015625
new_month_id_nunique,0.0
new_authorized_flag_mean,0.0
